parent,code,image,url,name,description,meta_description,meta_keyword,category_tree
"","A","","https://www.vermontsales.co.za/index.php?route=product/category&path=824","Abrasive/Grinding/Polish","This category hosts all products related to sanding, polishing and grinding. Whether you are looking for a backing pad, flap discs or polishing buffs, you will find it all here. This include wire brushes, sanding blocks, grinding points for die grinders, and all forms of abrasive sheets and rolls.","This category hosts all products related to sanding, polishing and grinding. Whether you are looking for a backing pad, flap discs or polishing buffs, you will find it all here. This include wire brushes, sanding blocks, grinding points for die grinders, ","Abrasive,Grinding,Polish, sand paper, wire brushes,","Abrasive/Grinding/Polish"
"A","AA","","https://www.vermontsales.co.za/index.php?route=product/category&path=889","Sheets","HSS","HSS","HSS","Abrasive/Grinding/Polish > Sheets"
"AA","AAA","","https://www.vermontsales.co.za/index.php?route=product/category&path=890","Wood","Sprint","Sprint","Sprint","Abrasive/Grinding/Polish > Sheets > Wood"
"AAA","AAAA","","https://www.vermontsales.co.za/index.php?route=product/category&path=921","Round","Carded","Carded","Carded","Abrasive/Grinding/Polish > Sheets > Wood > Round"
"AAA","AAAB","","https://www.vermontsales.co.za/index.php?route=product/category&path=891","Rectangular","Bulk","Bulk","Bulk","Abrasive/Grinding/Polish > Sheets > Wood > Rectangular"
"AAA","AAAC","","https://www.vermontsales.co.za/index.php?route=product/category&path=910","Triangular","Double end","Double end","Double end","Abrasive/Grinding/Polish > Sheets > Wood > Triangular"
"AAA","AAAD","","https://www.vermontsales.co.za/index.php?route=product/category&path=1445","Cabinet","Reduced Shank","Reduced Shank","Reduced Shank","Abrasive/Grinding/Polish > Sheets > Wood > Cabinet"
"AA","AAB","","https://www.vermontsales.co.za/index.php?route=product/category&path=896","Steel","Super","Super","Super","Abrasive/Grinding/Polish > Sheets > Steel"
"AAB","AABA","","https://www.vermontsales.co.za/index.php?route=product/category&path=897","Waterproof Paper","Carded","Carded","Carded","Abrasive/Grinding/Polish > Sheets > Steel > Waterproof Paper"
"AA","AAC","","https://www.vermontsales.co.za/index.php?route=product/category&path=898","Automotive/Painted Surfaces","Cobalt","Cobalt","Cobalt","Abrasive/Grinding/Polish > Sheets > Automotive/Painted Surfaces"
"AAC","AACB","","https://www.vermontsales.co.za/index.php?route=product/category&path=954","Psa Pressure Sens Adhesive","Stub","Stub","Stub","Abrasive/Grinding/Polish > Sheets > Automotive/Painted Surfaces > Psa Pressure Sens Adhesive"
"AAC","AACC","","https://www.vermontsales.co.za/index.php?route=product/category&path=2291","Waterproof Paper","Waterproof Paper","Waterproof Paper","Waterproof Paper","Abrasive/Grinding/Polish > Sheets > Automotive/Painted Surfaces > Waterproof Paper"
"AAC","AACD","","https://www.vermontsales.co.za/index.php?route=product/category&path=2523","Dry Hand Sanding Paper","Dry Hand Sanding Paper","Dry Hand Sanding Paper","Dry Hand Sanding Paper","Abrasive/Grinding/Polish > Sheets > Automotive/Painted Surfaces > Dry Hand Sanding Paper"
"AAC","AACE","","https://www.vermontsales.co.za/index.php?route=product/category&path=2287","Round","Round","Round","Round","Abrasive/Grinding/Polish > Sheets > Automotive/Painted Surfaces > Round"
"AAC","AACF","","https://www.vermontsales.co.za/index.php?route=product/category&path=2500","Rectangular","Rectangular","Rectangular","Rectangular","Abrasive/Grinding/Polish > Sheets > Automotive/Painted Surfaces > Rectangular"
"AAC","AACG","","https://www.vermontsales.co.za/index.php?route=product/category&path=2508","Triangular","Triangular","Triangular","Triangular","Abrasive/Grinding/Polish > Sheets > Automotive/Painted Surfaces > Triangular"
"AA","AAD","","https://www.vermontsales.co.za/index.php?route=product/category&path=1997","Plaster","Plaster","Plaster","Plaster","Abrasive/Grinding/Polish > Sheets > Plaster"
"AAD","AADA","","https://www.vermontsales.co.za/index.php?route=product/category&path=2133","Mesh Sheets","Mesh Sheets","Mesh Sheets","Mesh Sheets","Abrasive/Grinding/Polish > Sheets > Plaster > Mesh Sheets"
"AAD","AADB","","https://www.vermontsales.co.za/index.php?route=product/category&path=1998","Mesh Round","Mesh Round","Mesh Round","Mesh Round","Abrasive/Grinding/Polish > Sheets > Plaster > Mesh Round"
"AA","AAE","","https://www.vermontsales.co.za/index.php?route=product/category&path=1376","Non-Woven","Standard","Standard","Standard","Abrasive/Grinding/Polish > Sheets > Non-Woven"
