name,image,url,description,meta_description,meta_keyword
"ACCUD","https://www.vermontsales.co.za/image/data/manufacturers/ACCUD_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=299","<div class='manuf_desc_box'>
<p>
<img alt='SawStop' height='54' src='../images/brands/accud_logo.png' style='float: right; margin-left: 13px' width='153' />The 
ACCUD products line not only covers traditional gauges such as callipers, micrometres, 
dial gauges, indicators, height gauges, gauge blocks, but also covers high-technology 
measuring instruments. ACCUD products are mainly manufactured in Asia conforming 
to international standards for quality and measurement. Since 2010.</p>
<table style='width: 100%'>
	<tr>
		<td style='text-align: center'>
		<a class='button' href='http://www.accud.com/' target='_blank'>Company website</a></td>
		<td style='text-align: center'>
		<a target='_blank' class='button' href='https://drive.google.com/open?id=0B5R67v3yi2j5STk5Wk1IdndDVDA'>
		Catalogue Download</a></td>
	</tr>
</table>
</div>
","he ACCUD products line not only covers traditional gauges such as callipers, micrometres, dial gauges, indicators, height gauges, gauge blocks, but also covers high-technology measuring instruments.","ACCUD,micrometers,callipers,measuring tools,digital measuring,"
"ACTION CAN","https://www.vermontsales.co.za/image/data/manufacturers/ACTION CAN_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=537","<div class='manuf_desc_box'>
	<p>
	<img style='float:left;margin-right:10px' src='https://www.vermontsales.co.za/images/actioncan/action-can-spray-new.png' /><img alt='Action Can' src='../images/actioncan/actioncan_logo_sm1.png' style='float: right; margin-left: 15px'  />In 
	1985 Action Can launched AC-90 Multi-Purpose Lubricant onto the UK industrial 
	market, leading to the development of an entire Action Can range. </p>
	<p>
	In the three 
	decades since, the manufacturer has established themselves as one of the UK’s 
	leading manufactures of professional grade maintenance chemicals. A combined 
	production capacity of over 20,000,000 cans per year.</p>
	<p><strong>Action Can</strong> “<em>In The Right Hands It’s A Power Tool!</em>”</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='https://drive.google.com/open?id=1tFCti-JLLUOVSQr-wpIt4kFjQ0Fo-yh5' target='_blank'>Download Catalogue</a></td>
			<td style='text-align: center'>
			<a class='button' href='https://www.actioncan.com/' target='_blank'>Action Can Website</a></td>
			<td style='text-align: center'>
			<a target='_blank' class='button' href='https://www.actioncan.com/datasheets/#technical'>
			Data Sheet Download</a></td>
		</tr>
	</table>
</div>
","In 1985 Action Can launched AC-90 Multi-Purpose Lubricant onto the UK industrial market, leading to the development of an entire Action Can range. In the three decades since, the manufacturer has established themselves as one of the UK’s leading manufactu","ACTION CAN, aerosol oils,"
"AIRCRAFT","https://www.vermontsales.co.za/image/data/manufacturers/AIRCRAFT_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=202","<div class='manuf_desc_box'>
	<p>
	<img alt='Action Can' src='../images/aircraft/aircraft_logo.png' style='float: right; margin-left: 15px'  />
	AirCraft offers a wide range of air tools, couplers and pneumatic accessories.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.aircraftair.com/' target='_blank'>AirCraft 
			website</a></td>
			<td style='text-align: center'>
			<a target='_blank' class='button' href='https://drive.google.com/open?id=1OjpKllWJVWr5DDDrKKNbeuz1BjsTjkdQ'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","The AirCraft brand is one of the Vermont Sales' house brands. We cater for pneumatic solutions for both the DIY handyman and the tradesman.","AIRCRAFT brand,air tools,pneumatic tools,compressed air tools,"
"ALPEN","https://www.vermontsales.co.za/image/data/manufacturers/ALPEN_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=178","<div class='manuf_desc_box'>
	<p>
	<img height='70' src='https://www.vermontsales.co.za/images/brands/alpen_logo.png' style='float: left; margin-right: 15px; width: 170px;' />All 
	ALPEN drill bits are produced in Austria in the most up-to-date plants to the 
	highest quality standards under the strictest quality controls. </p>
	<p>The result is top quality. Every single item. Alpen demands the same of their 
	production as they do of their tools: it must be efficient. It must be economical. 
	And it must be state of the art. In order to ensure their high quality standards 
	they keep the entire manufacturing process in-house</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.alpen-drills.com/en/' target='_blank'>
			Company website</a></td>
			<td style='text-align: center'>
			<a class='button' target='_blank' href='https://drive.google.com/open?id=0BxnzLp2IvSY_LUJ1SXlPT3F5bGc'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","ALPEN drill bits are produced in Austria in the most up-to-date plants to the 
	highest quality standards under the strictest quality controls. The result is 
	top quality.","ALPEN,drill bits,burrs,vermont sales,"
"BAMAX","https://www.vermontsales.co.za/image/data/manufacturers/BAMAX_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=329","<div class='manuf_desc_box'>
	<p>
	<img height='52' src='https://www.vermontsales.co.za/images/brands/bamax_logo_sm1.png' style='float: right; margin-right: 15px; width: 148px; margin-left: 15px;' />Bamax 
	Srl from family tradition and over thirty years of experience in the manufacturing 
	of compressed air products offer a complete range of solutions sold by Vermont 
	Sales (Pty) Ltd.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: left'>
			<a class='button' href='http://www.bamaxsrl.com/' target='_blank'>Company 
			website</a></td>
		</tr>
	</table>
</div>
","Bamax Srl from family tradition and over thirty years of experience in the manufacturing of compressed air products offer a complete range of solutions ","BAMAX,compressor fittings"
"BERNZOMATIC","https://www.vermontsales.co.za/image/data/manufacturers/BERNZOMATIC_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=549","<div class='manuf_desc_box'>
	<p>
	<img alt='Bernzomatic' src='../images/brands/bernzomatic_logo.png' style='float: right; margin-left: 13px' />Bernzomatic 
	has been leading the fire and heat industry for more than a century. Since the 
	foundation in 1876, Bernzomatic has been diligently forging ahead with a progressive 
	mindset and quality craftsmanship. Bernzomatic offers an array of hand-held 
	torches, micro torches, fuel cylinders, butane lighters and accessories. Whether 
	you’re constructing, fixing, making, creating or exploring, you can trust Bernzomatic 
	to provide safe, durable, high-performing products to help turn your vision 
	into a masterpiece.</p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='https://www.bernzomatic.com/' target='_blank'>
			Company website</a></td>
			<td style='text-align: center'>
			<!--
		<a target='_blank' class='button' href=''>
		Catalogue Download</a>--></td>
		</tr>
	</table>
</div>
","Bernzomatic has been leading the fire and heat industry for more than a century. Since the foundation in 1876, Bernzomatic has been diligently forging ahead with a progressive mindset and quality craftsmanship. Bernzomatic offers an array of hand-held tor","BERNZOMATIC, hand torch, gas burner,utility lighters, fuel cylinder, butane, brazing, welding, torch safety
"
"BESSEY","https://www.vermontsales.co.za/image/data/manufacturers/BESSEY_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=176","<div class='manuf_desc_box'>
	<p>
	<img height='117' src='https://www.vermontsales.co.za/images/brands/bessey_logo.png' style='float: right' width='118' />World 
	renowned clamping solutions. The <strong>Bessey</strong> brand needs no introduction to professionals. 
	<em>'One, who stops improving himself, has already ceased to be good.'</em> We behave 
	and work as per this guiding principle of Max Bessey, the founder of our company, 
	for more than 120 years. <span style='color: #A71818'><em>Made in Germany.</em></span></p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='https://www.bessey.de/en-GB/BESSEY-Tool' target='_blank'>
			Company website</a></td>
			<td style='text-align: center'>
			<a target='_blank' class='button' href='https://drive.google.com/open?id=1PQPPfuZtYeqHzLxJkWMPDolSvCMNeS_Z'>
			Catalogue Download</a></td>
		</tr>
	</table>
</div>
","Bessey needs no introduction to professionals. 'One, who stops improving himself, has already ceased to be good.' We behave and work as per this guiding principle of Max Bessey, the founder of our company, for more than 120 years already.","BESSEY, clamping solutions,pliers,german made,"
"BONDHUS","https://www.vermontsales.co.za/image/data/manufacturers/BONDHUS_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=358","<div class='manuf_desc_box'>
	<p>
	<img height='64' src='https://www.vermontsales.co.za/images/brands/bondhus_logo.png' style='float: right; margin-left: 15px; margin-bottom: 25px' width='189' /> 
	The purpose of a high quality tool is to provide a faster, easier, and less 
	costly means of performing a task. Bondhus strives to provide not just “good” 
	tools, but the strongest tools available anywhere. </p>
	<table style='width: 100%'>
		<tr>
			<td style='text-align: center'>
			<a class='button' href='http://www.bondhus.com/' target='_blank'>Company 
			website</a></td>
			<td style='text-align: center'><a class='button' target='_blank' href='https://drive.google.com/open?id=0BxnzLp2IvSY_dG1UQkJWR3FCejA'>Catalogue Download</a></td>
		</tr>
	</table>
</div>


","BONDHUS The purpose of a high quality tool is to provide a faster, easier, and less costly means of performing a task. Bondhus strives to provide not just “good” tools, but the strongest tools available anywhere.","BONDHUS,allenkey,allen key,mechanical tools,"
"CABLE CROC","https://www.vermontsales.co.za/image/data/manufacturers/CABLE CROC_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=529","CABLE CROC","CABLE CROC","CABLE CROC"
"D-TECH","https://www.vermontsales.co.za/image/data/manufacturers/D-TECH_logo.png","https://www.vermontsales.co.za/index.php?route=product/manufacturer/info&manufacturer_id=506","D-TECH","D-TECH","D-TECH"
