model,availability,price,barcode
"480000.04","152","181.2000","8004601028656"
"480002.02","282","125.8500",""
"638668","386","125.9500","7638900386684"
"639357","135","172.5500","7638900393576"
"639825","31","437.1700","7638900398250"
"A23BP1","7715","25.7600","8888021300116"
"A23BP2","1440","45.4900","8888021300574"
"A27BP1","1424","23.4400","8888021300369"
"A544BP1","155","88.2900","8888021700633"
"AB03170","216","45.0500","6009515816834"
"AB03300","58","61.1500","6009515816995"
"AB03400","48","72.8500","6009515817152"
"AB04170","223","46.5500","6009515816841"
"AB04300","29","61.1500","6009515817008"
"AB04400","81","75.1000","6009515817169"
"AB05170","180","46.0000","6009515816858"
"AB05300","6","61.1500","6009515817015"
"AB05400","65","72.8500","6009515817176"
"AB06170","74","46.9500","6009515816865"
"AB06300","50","67.1500","6009515817022"
"AB06400","25","75.9500","6009515817183"
"AB06460","81","76.8000","6009515817244"
"AB08170","162","51.4000","6009515816872"
"AB08300","83","68.4000","6009515817039"
"AB08400","108","83.6500","6009515817190"
"AB08460","82","90.2000","6009515817251"
"AB10170","226","61.4500","6009515816889"
"AB10300","147","78.7000","6009515817046"
"AB10400","327","92.6500","6009515817206"
"AB10460","222","95.2500","6009515817268"
"AB12170","45","67.1500","6009515816896"
"AB12300","303","87.2000","6009515817053"
"AB12400","334","113.6500","6009515817213"
"AB12460","475","119.0000","6009515817275"
"AB13170","391","72.7500","6009515816902"
"AB13300","30","94.5000","6009515817060"
"AB13400","163","115.9500","6009515817220"
"AB13460","-49","126.5500","6009515817282"
"AB14170","212","71.5500","6009515816919"
"AB14300","41","97.3500","6009515817077"
"AB14400","65","118.1500","6009515817237"
"AB14460","118","129.8500","6009515817299"
"AB16170","114","92.6500","6009515816926"
"AB16300","57","120.4000","6009515817084"
"AB16460","250","175.0500","6009515817305"
"AB18170","167","102.0000","6009515816933"
"AB18300","184","138.0000","6009515817091"
"AB18460","204","197.1500","6009515817312"
"AB19170","173","111.5500","6009515816940"
"AB19300","47","141.1500","6009515817107"
"AB19300B","196","138.5000",""
"AB19460","-86","209.8500","6009515817329"
"AB20170","14","115.0500","6009515816957"
"AB20300","134","146.6500","6009515817114"
"AB20460","1","216.4000","6009515817336"
"AB22170","89","124.7500","6009515816964"
"AB22300","-10","174.6500","6009515817121"
"AB22300B","538","176.1500","6009515809454"
"AB22300SP","446","176.1500","6009515852757"
"AB22460","-62","251.5500","6009515817343"
"AB24","0","196.2500","6009600404991"
"AB24170","55","145.6000","6009515816971"
"AB24300","105","201.8000","6009515817138"
"AB24460","25","299.8000","6009515817350"
"AB25170","95","160.6000","6009515816988"
"AB25300","77","220.7500","6009515817145"
"AB25460","8","330.8000","6009515817367"
"ABR01040","12","281.8500","6009515823993"
"ABR01040-10","101","64.0500","6009515826741"
"ABR01060","35","281.8500","6009515824006"
"ABR01060-10","93","64.0500","6009515826758"
"ABR01080","159","309.7000","6009515824013"
"ABR01080-10","-9","64.0500","6009515826765"
"ABR01100","62","281.8500","6009515824020"
"ABR01100-10","48","64.0500","6009515826772"
"ABR01120","37","281.8500","6009515824037"
"ABR01120-10","77","64.0500","6009515826789"
"ABR01180","4","281.8500","6009515824044"
"ABR01180-10","64","64.0500","6009515826796"
"ABR01240","75","281.8500","6009515824051"
"ABR01240-10","144","64.0500","6009515826802"
"ABR01400","189","281.8500","6009515824068"
"ABR01400-10","29","64.0500","6009515826819"
"ABR02040","162","511.1000","6009515824075"
"ABR02040-10","6","106.6000","6009515826826"
"ABR02060","116","511.1000","6009515824082"
"ABR02060-10","1","106.6000","6009515826833"
"ABR02080","22","511.1000","6009515824099"
"ABR02080-10","-8","106.6000","6009515826840"
"ABR02100","17","511.1000","6009515824105"
"ABR02100-10","10","106.6000","6009515826857"
"ABR02120","98","511.1000","6009515824112"
"ABR02120-10","6","106.6000","6009515826864"
"ABR02150","153","511.1000","6009515836580"
"ABR02180","196","511.1000","6009515824129"
"ABR02180-10","83","106.6000","6009515826871"
"ABR02240","182","511.1000","6009515824136"
"ABR02240-10","97","106.6000","6009515826888"
"ABR02400","54","511.1000","6009515824143"
"ABR02400-10","59","107.1000","6009515826895"
"ABR03040","520","27.1000","6009515804510"
"ABR03040-10","53","120.5500","6009515807757"
"ABR03060","-12","27.1000","6009515804503"
"ABR03060-10","46","120.5500","6009515807764"
"ABR03080","43","27.1000","6009515804497"
"ABR03080-10","1","120.5500","6009515807771"
"ABR03100","90","27.1000","6009515811761"
"ABR03100-10","78","120.5500","6009515850005"
"ABR03120","159","27.1000","6009515804480"
"ABR03120-10","28","120.5500","6009515807788"
"ABR03150","1054","27.1000","6009515833565"
"ABR03180","1229","27.1000","6009515833572"
"ABR03240","1233","27.1000","6009515833589"
"ABR03320","1374","27.1000","6009515833596"
"ABR04040","150","27.9000","6009515807146"
"ABR04040-10","53","126.9000","6009515808075"
"ABR04060","138","27.9000","6009515807153"
"ABR04060-10","60","126.9000","6009515808082"
"ABR04080","157","27.9000","6009515807160"
"ABR04080-10","34","126.9000","6009515808099"
"ABR04100","121","27.9000","6009515811853"
"ABR04120","163","27.1000","6009515807177"
"ABR04150","865","27.1000","6009515844745"
"ABR04180","849","27.1000","6009515844752"
"ABR04240","870","27.1000","6009515844769"
"ABR04320","894","27.1000","6009515844776"
"ABR06040","1132","37.9000","6009515804558"
"ABR06040-10","-3","130.5000","6009515807795"
"ABR06060","387","37.9000","6009515804541"
"ABR06060-10","66","127.9000","6009515807801"
"ABR06080","1139","37.9000","6009515804534"
"ABR06080-10","36","127.9000","6009515807818"
"ABR06100","1441","37.9000","6009515811778"
"ABR06100-10","25","122.0000","6009515842390"
"ABR06120","1705","37.9000","6009515804527"
"ABR06120-10","1","127.9000","6009515807825"
"ABR06180","29","37.9000","6009515836139"
"ABR06240","-47","37.9000","6009515860370"
"ABR06400","43","31.4000","6009515836153"
"ABR06600","267","31.4000","6009515836160"
"ABR07040","38","40.3000","6009515805241"
"ABR07040-10","4","120.6500","6009515807832"
"ABR07060","61","56.2500","6009515805234"
"ABR07060-10","55","142.3500","6009515807849"
"ABR07080","82","42.7500","6009515805227"
"ABR07080-10","100","147.8000","6009515807856"
"ABR07100","31","52.7500","6009515811785"
"ABR07120","80","52.7500","6009515805210"
"ABR07120-10","46","147.8000","6009515807863"
"ABR07600","349","26.8000","6009515811723"
"ABR09040","3642","45.4500","6009515804596"
"ABR09040-10","252","157.4000","6009515807870"
"ABR09060","2170","45.4500","6009515804589"
"ABR09060-10","-1","143.5500","6009515807887"
"ABR09080","1476","45.4500","6009515804572"
"ABR09080-10","223","130.3000","6009515807894"
"ABR09100","2583","40.1500","6009515811792"
"ABR09100-10","337","157.4000","6009515821647"
"ABR09120","2821","43.3500","6009515804565"
"ABR09120-10","207","150.9500","6009515807900"
"ABR09180","2810","42.1500","6009515836177"
"ABR09240","13","42.0500","6009515851675"
"ABR09400","-44","40.1500","6009515836191"
"ABR09600","1","35.3500","6009515836207"
"ABR100060","298","200.9000","6009515812898"
"ABR100080","259","200.9000","6009515812904"
"ABR100100","149","200.9000","6009515812911"
"ABR100120","2","200.9000","6009515812928"
"ABR100150","240","200.9000","6009515812935"
"ABR100180","106","200.9000","6009515812942"
"ABR100220","35","200.9000","6009515812959"
"ABR102040","1818","15.7500","6009515813031"
"ABR102060","3298","15.7500","6009515813048"
